pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
KC,2026-04-28,86.3,-2.8,5.34,"Varland, Louis",596115,686973,strikeout,swinging_strike,,,,,14,Trevor Story strikes out swinging.,R,R,R,TOR,BOS,S,2,,0,2,2026,0.76,-0.68,0.7889424612844191,0.9912210150319124,,,,2,9,Top,,,,,,,6.931618591099824,-125.48449121246084,-2.402572458483556,6.4672944345306576,27.55234880093694,-39.04412687986918,3.241945538,1.636122047,,,,87.0,2411,7.0,822823,623168,665489,676391,672960,665926,676914,662139,664702,53.51,,0.0,0.0,1,0,0,,66,4,Knuckle Curve,3,0,0,3,0,3,0,3,Standard,Standard,43,0.002,-0.16,72.8,8.5,,0.16,,3,-3,0.998,0.002,28,33,29,34,1,3,,,,,3.77,-0.76,-0.76,,22.08038459143953,-19.70366516381452,30.510918328606024,43.81610623070813,48.66332461188969
FF,2026-04-28,98.8,-2.47,5.51,"Varland, Louis",596115,686973,,foul,,,,,12,Foul,R,R,R,TOR,BOS,S,,,0,2,2026,-0.48,1.55,1.0759749824545009,3.0314848917539123,,,,2,9,Top,,,,,,,10.74742736190708,-143.51608649234507,-4.822011515235587,-9.160601623891967,32.92305706878886,-9.76039239186244,3.241945538,1.636122047,233,78.4,38,99.6,2316,6.8,822823,623168,665489,676391,672960,665926,676914,662139,664702,53.7,,,,,,,,66,3,4-Seam Fastball,3,0,0,3,0,3,0,3,Standard,Standard,211,0.0,0.0,61.6,6.7,,0.0,88.0,3,-3,0.998,0.002,28,33,29,34,1,3,,,,,0.79,0.48,0.48,,-5.045344761765538,17.597187582627438,23.83609869159745,50.780770492176046,13.651966489369851
FF,2026-04-28,99.3,-2.86,5.36,"Varland, Louis",596115,686973,,foul,,,,,14,Foul,R,R,R,TOR,BOS,S,,,0,1,2026,-0.32,1.52,1.0043031065747074,2.3067593234981,,,,2,9,Top,,,,,,,11.250526115878689,-144.0598804294632,-6.3662337876337025,-7.0835768251020115,33.80506119672598,-9.680881929049326,3.241945538,1.636122047,231,74.5,32,99.8,2337,6.8,822823,623168,665489,676391,672960,665926,676914,662139,664702,53.74,,,,,,,,66,2,4-Seam Fastball,3,0,0,3,0,3,0,3,Standard,Standard,213,0.001,-0.057,65.2,6.9,,0.057,88.0,3,-3,0.997,0.003,28,33,29,34,1,3,,,,,0.81,0.32,0.32,,-9.58813449366157,12.284540602077625,32.17876779247237,50.28947820498963,15.297028259132537
KC,2026-04-28,86.4,-2.6,5.43,"Varland, Louis",596115,686973,,called_strike,,,,,8,Called Strike,R,R,R,TOR,BOS,S,,,0,0,2026,0.57,-0.98,0.2188751415677107,1.719039024856596,,,,2,9,Top,,,,,,,5.504825361859122,-125.69027180444324,-0.3192766127248676,4.814077174662698,26.98882181768398,-42.66815729732778,3.241945538,1.636122047,,,,87.0,2458,6.8,822823,623168,665489,676391,672960,665926,676914,662139,664702,53.67,,,,,,,,66,1,Knuckle Curve,3,0,0,3,0,3,0,3,Standard,Standard,49,0.001,-0.043,,,,0.043,,3,-3,0.996,0.004,28,33,29,34,1,3,,,,,4.05,-0.57,-0.57,,,,,,
CH,2026-04-28,93.6,-2.89,5.24,"Varland, Louis",677800,686973,strikeout,swinging_strike,,,,,13,Wilyer Abreu strikes out swinging.,R,L,R,TOR,BOS,S,2,,1,2,2026,-0.83,-0.13,-0.028312759230209,0.9278947018775008,,,,1,9,Top,,,,,,,9.285950420427715,-136.03444553000577,-4.9343232388324765,-12.296876920836835,28.06686375789599,-32.922829454557906,3.117322835,1.573228347,,,,95.1,1663,7.1,822823,623168,665489,676391,672960,665926,676914,662139,664702,53.41,,0.0,0.0,1,0,0,,65,6,Changeup,3,0,0,3,0,3,0,3,Strategic,Standard,224,0.008,-0.18,76.1,7.8,,0.18,,3,-3,0.988,0.012,28,27,29,27,1,3,,,,,2.72,0.83,-0.83,,7.780588381253452,0.022026168866396,37.14925180978839,39.23274257255954,24.22214092886613
FF,2026-04-28,99.7,-2.96,5.41,"Varland, Louis",677800,686973,,ball,,,,,11,Ball,R,L,R,TOR,BOS,B,,,0,2,2026,-0.44,1.44,-1.1398941740012702,3.5089075967138155,,,,1,9,Top,,,,,,,6.014032834391504,-145.0665914003341,-3.1283790060645744,-7.661524165819615,33.67831135075076,-11.265482638599876,3.117322835,1.573228347,,,,99.9,2382,6.4,822823,623168,665489,676391,672960,665926,676914,662139,664702,54.11,,,,,,,,65,5,4-Seam Fastball,3,0,0,3,0,3,0,3,Strategic,Standard,213,-0.001,0.017,,,,-0.017,,3,-3,0.989,0.011,28,27,29,27,1,3,,,,,0.85,0.44,-0.44,,,,,,
CH,2026-04-28,92.8,-3.01,5.16,"Varland, Louis",677800,686973,,foul,,,,,13,Foul,R,L,R,TOR,BOS,S,,,0,2,2026,-0.64,0.03,-0.652893871247213,1.1034115417533847,,,,1,9,Top,,,,,,,7.47747447464323,-134.9590665206755,-4.472041807146742,-9.436391237800922,28.017373773403023,-31.106512543556747,3.117322835,1.573228347,1,65.7,-43,94.2,1685,7.0,822823,623168,665489,676391,672960,665926,676914,662139,664702,53.48,,,,,,,,65,4,Changeup,3,0,0,3,0,3,0,3,Strategic,Standard,232,0.0,0.0,48.6,6.8,,0.0,88.0,3,-3,0.989,0.011,28,27,29,27,1,3,,,,,2.61,0.64,-0.64,,-12.054449118466248,27.62742373134997,38.69961878918696,45.65518631094989,5.458072363135985
FF,2026-04-28,99.4,-2.96,5.36,"Varland, Louis",677800,686973,,foul,,,,,3,Foul,R,L,R,TOR,BOS,S,,,0,2,2026,-0.68,1.38,0.388063003006433,2.6443429609224967,,,,1,9,Top,,,,,,,10.804101970786942,-144.311958051699,-5.162878870558653,-12.079964863303,33.49512499185018,-11.820378250096356,3.117322835,1.573228347,224,68.2,38,100.5,2362,7.0,822823,623168,665489,676391,672960,665926,676914,662139,664702,53.49,,,,,,,,65,3,4-Seam Fastball,3,0,0,3,0,3,0,3,Infield shade,Standard,217,0.0,0.0,75.5,6.8,,0.0,88.0,3,-3,0.989,0.011,28,27,29,27,1,3,,,,,0.94,0.68,-0.68,,1.470560267197281,3.9013558267440818,34.72799695429228,33.05107511786207,19.14625859328487
KC,2026-04-28,86.8,-3.01,5.46,"Varland, Louis",677800,686973,,called_strike,,,,,8,Called Strike,R,L,R,TOR,BOS,S,,,0,1,2026,0.74,-0.68,-0.1492156416419237,1.8518470086748255,,,,1,9,Top,,,,,,,5.2470351075493795,-126.32209658949976,-0.7641129564343789,6.768779961992069,26.886334323490075,-39.518931348119345,3.117322835,1.573228347,,,,87.3,2543,6.7,822823,623168,665489,676391,672960,665926,676914,662139,664702,53.81,,,,,,,,65,2,Knuckle Curve,3,0,0,3,0,3,0,3,Infield shade,Standard,36,0.002,-0.052,,,,0.052,,3,-3,0.987,0.013,28,27,29,27,1,3,,,,,3.72,-0.74,0.74,,,,,,
FF,2026-04-28,99.4,-3.03,5.24,"Varland, Louis",677800,686973,,called_strike,,,,,3,Called Strike,R,L,R,TOR,BOS,S,,,0,0,2026,-0.81,1.35,0.3411068273823517,2.6674346756068266,,,,1,9,Top,,,,,,,11.170437557931985,-144.34068809077056,-4.718804961641635,-13.941702779057673,33.251023179861164,-12.316272564324946,3.117322835,1.573228347,,,,100.5,2310,7.0,822823,623168,665489,676391,672960,665926,676914,662139,664702,53.51,,,,,,,,65,1,4-Seam Fastball,3,0,0,3,0,3,0,3,Infield shade,Standard,221,0.002,-0.039,,,,0.039,,3,-3,0.985,0.015,28,27,29,27,1,3,,,,,0.96,0.81,-0.81,,,,,,
