pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FF,2026-05-06,96.5,2.27,5.69,"Soto, Gregory",682998,642397,field_out,hit_into_play,,,,,14,Corbin Carroll grounds out to first baseman Ryan O'Hearn.,R,L,L,AZ,PIT,X,3,ground_ball,1,1,2026,0.88,1.2,0.9629571504560414,1.8173419057646665,,,672695,2,9,Bot,148.14,175.35,,,,,-5.471349057733095,-140.2548878313744,-7.270814446166804,12.871607047857966,32.12716062370247,-14.83642053132536,3.10328084,1.566141732,9,98.3,-12,96.6,2322,6.5,825091,680779,656811,664040,669707,804606,668804,665833,695257,54.03,0.193,0.185,0.0,1,0,0,2,66,3,4-Seam Fastball,0,1,0,1,1,0,0,1,Infield shade,Standard,140,-0.099,-0.256,76.5,7.6,0.215,0.256,98.3,-1,-1,0.099,0.099,31,25,31,26,1,3,3,1,1,1,1.25,0.88,0.88,35.2,16.108409108333113,-10.251272128778842,33.089138542055515,28.990755265340372,39.68153697648148
FF,2026-05-06,97.7,2.45,5.72,"Soto, Gregory",682998,642397,,ball,,,,,12,,R,L,L,AZ,PIT,B,,,0,1,2026,0.81,1.22,0.596806721035933,3.7617139828346327,,,672695,2,9,Bot,,,,,,,-6.8260927365033135,-142.11326867803774,-2.4714837412593,12.501082024237272,33.366329209866855,-15.244967196605677,3.10328084,1.566141732,,,,97.9,2267,6.5,825091,680779,656811,664040,669707,804606,668804,665833,695257,54.03,,,,,,,,66,2,4-Seam Fastball,0,1,0,1,1,0,0,1,Infield shade,Standard,138,0.0,0.027,,,,-0.027,,-1,-1,0.099,0.099,31,25,31,26,1,3,3,1,1,1,1.17,0.81,0.81,38.9,,,,,
FF,2026-05-06,97.7,2.37,5.76,"Soto, Gregory",682998,642397,,swinging_strike,,,,,12,,R,L,L,AZ,PIT,S,,,0,0,2026,0.83,1.38,1.1474038248741931,3.314819881136801,,,672695,2,9,Bot,,,,,,,-5.220284425286673,-142.20048789446062,-4.141431706667996,12.433589869159269,33.812344192162975,-12.730001233622884,3.10328084,1.566141732,,,,98.0,2334,6.6,825091,680779,656811,664040,669707,804606,668804,665833,695257,53.95,,,,,,,,66,1,4-Seam Fastball,0,1,0,1,1,0,0,1,Infield shade,Standard,143,0.0,-0.042,73.5,6.5,,0.042,,-1,-1,0.099,0.099,31,25,31,26,1,3,3,1,1,1,1.01,0.83,0.83,34.7,8.319290854573854,6.354426931114842,20.83277926034781,27.694288257814296,28.267700506682253
FF,2026-05-06,96.8,2.2,5.58,"Soto, Gregory",606466,642397,field_out,hit_into_play,,,,,13,Ketel Marte flies out to right fielder Billy Cook.,R,R,L,AZ,PIT,X,9,fly_ball,1,0,2026,0.93,1.24,-0.6461809041366904,1.3735227954206275,,,672695,1,9,Bot,172.48,116.02,,,,,-9.69687785581539,-140.49541484763805,-8.327125230992523,14.530389952021029,32.05341385076034,-13.975378983443145,3.218249672,1.624163386,204,93.0,62,97.3,2337,6.7,825091,680779,656811,664040,669707,804606,668804,665833,695257,53.78,0.011,0.014,0.0,1,0,0,3,65,2,4-Seam Fastball,0,1,0,1,1,0,0,1,Standard,Standard,135,-0.128,-0.29,83.1,8.5,0.021,0.29,93.0,-1,-1,0.227,0.227,31,32,31,33,1,3,3,1,1,1,1.21,0.93,-0.93,30.5,6.330716046138754,-15.948267521731822,40.30382522222283,28.313042799318826,36.93968904234313
SL,2026-05-06,81.8,2.31,5.65,"Soto, Gregory",606466,642397,,blocked_ball,,,,,13,,R,R,L,AZ,PIT,B,,,0,0,2026,-0.52,0.22,-0.1739759938359744,1.2190044192421303,,,672695,1,9,Bot,,,,,,,-4.515747015946639,-119.00574763573792,-3.581512087262679,-4.083612196848612,23.44204219137457,-29.635123620310143,3.218249672,1.624163386,,,,81.9,2505,6.4,825091,680779,656811,664040,669707,804606,668804,665833,695257,54.05,,,,,,,,65,1,Slider,0,1,0,1,1,0,0,1,Standard,Standard,291,0.013,0.035,,,,-0.035,,-1,-1,0.214,0.214,31,32,31,33,1,3,3,1,1,1,3.2,-0.52,0.52,37.9,,,,,
FF,2026-05-06,98.1,2.22,5.63,"Soto, Gregory",672695,642397,walk,ball,,,,,12,Geraldo Perdomo walks.,R,R,L,AZ,PIT,B,,,3,2,2026,0.89,1.24,1.1494108729885113,3.797741799661928,,,,1,9,Bot,,,,,,,-4.9735563944868115,-142.74802085435135,-2.2324614337817645,13.373701222223252,34.16024987494948,-14.98123971477512,3.31742126,1.674212598,,,,98.4,2336,6.6,825091,680779,656811,664040,669707,804606,668804,665833,695257,53.94,,0.706404,0.7,1,0,0,,64,6,4-Seam Fastball,0,1,0,1,1,0,0,1,Standard,Standard,132,0.084,0.339,,,,-0.339,,-1,-1,0.13,0.13,31,26,31,27,1,3,3,1,1,1,1.14,0.89,-0.89,34.4,,,,,
SI,2026-05-06,95.2,2.39,5.57,"Soto, Gregory",672695,642397,,called_strike,,,,,4,,R,R,L,AZ,PIT,S,,,3,1,2026,1.45,0.7,-0.625815848299025,2.255427208942016,,,,1,9,Bot,,,,,,,-11.13087084939384,-138.19623052556048,-4.451607166655102,20.974457791794123,30.045325056055333,-22.340620183170827,3.31742126,1.674212598,,,,95.4,2187,6.5,825091,680779,656811,664040,669707,804606,668804,665833,695257,53.99,,,,,,,,64,5,Sinker,0,1,0,1,1,0,0,1,Standard,Standard,129,-0.025,-0.087,,,,0.087,,-1,-1,0.155,0.155,31,26,31,27,1,3,3,1,1,1,1.82,1.45,-1.45,30.3,,,,,
ST,2026-05-06,82.6,2.09,5.75,"Soto, Gregory",672695,642397,,ball,,,,,12,,R,R,L,AZ,PIT,B,,,2,1,2026,-1.26,0.16,0.6636197449881815,4.102119172603863,,,,1,9,Bot,,,,,,,-0.7102845808034798,-120.22783836011014,2.5979871854581233,-12.10032039340544,23.96055904323118,-31.331581345889493,3.31742126,1.674212598,,,,82.5,2632,6.3,825091,680779,656811,664040,669707,804606,668804,665833,695257,54.22,,,,,,,,64,4,Sweeper,0,1,0,1,1,0,0,1,Standard,Standard,287,0.03,0.121,,,,-0.121,,-1,-1,0.125,0.125,31,26,31,27,1,3,3,1,1,1,3.18,-1.26,1.26,37.7,,,,,
FF,2026-05-06,96.0,2.17,5.62,"Soto, Gregory",672695,642397,,called_strike,,,,,9,,R,R,L,AZ,PIT,S,,,2,0,2026,1.22,1.21,0.4915281643334115,1.9743788430645477,,,,1,9,Bot,,,,,,,-7.222392840206965,-139.55237189852195,-6.648815225026375,17.58399451725797,30.638122808548765,-14.985328757226783,3.31742126,1.674212598,,,,96.4,2335,6.5,825091,680779,656811,664040,669707,804606,668804,665833,695257,53.98,,,,,,,,64,3,4-Seam Fastball,0,1,0,1,1,0,0,1,Standard,Standard,130,-0.02,-0.066,,,,0.066,,-1,-1,0.145,0.145,31,26,31,27,1,3,3,1,1,1,1.26,1.22,-1.22,33.8,,,,,
FF,2026-05-06,95.5,2.23,5.74,"Soto, Gregory",672695,642397,,ball,,,,,12,,R,R,L,AZ,PIT,B,,,1,0,2026,0.84,1.23,0.1610844649555897,3.842804078588126,,,,1,9,Bot,,,,,,,-7.326446911784908,-138.98909160012187,-2.0417646149776805,12.463127305341214,29.531041070896773,-15.976473723418456,3.31742126,1.674212598,,,,96.1,2218,6.5,825091,680779,656811,664040,669707,804606,668804,665833,695257,54.0,,,,,,,,64,2,4-Seam Fastball,0,1,0,1,1,0,0,1,Standard,Standard,136,0.02,0.071,,,,-0.071,,-1,-1,0.125,0.125,31,26,31,27,1,3,3,1,1,1,1.26,0.84,-0.84,37.2,,,,,
FF,2026-05-06,99.5,2.16,5.67,"Soto, Gregory",672695,642397,,ball,,,,,13,,R,R,L,AZ,PIT,B,,,0,0,2026,1.05,1.2,-1.5185858596454294,0.7375375694002766,,,,1,9,Bot,,,,,,,-12.47706051772994,-143.91710636079677,-10.687520672263483,17.52775261351407,34.93835956785821,-12.947699958525074,3.31742126,1.674212598,,,,99.4,2377,6.7,825091,680779,656811,664040,669707,804606,668804,665833,695257,53.85,,,,,,,,64,1,4-Seam Fastball,0,1,0,1,1,0,0,1,Standard,Standard,138,0.01,0.039,,,,-0.039,,-1,-1,0.115,0.115,31,26,31,27,1,3,3,1,1,1,1.14,1.05,-1.05,36.0,,,,,
ST,2026-05-06,84.3,1.97,5.78,"Soto, Gregory",699912,642397,strikeout,called_strike,,,,,1,Jose Fernandez called out on strikes.,R,R,L,AZ,PIT,S,2,,1,2,2026,-1.0,0.29,-0.3546355002465936,3.054657187112632,,,,0,9,Bot,,,,,,,-3.319805396059118,-122.74830795002656,-0.2935690697501701,-9.249216389127955,27.194883973352724,-29.446526104681222,3.351648622,1.691486221,,,,84.1,2677,6.4,825091,680779,656811,664040,669707,804606,668804,665833,695257,54.1,,0.0,0.0,1,0,0,,63,4,Sweeper,0,1,0,1,1,0,0,1,Standard,Standard,304,-0.062,-0.189,,,,0.189,,-1,-1,0.177,0.177,31,22,31,23,1,0,3,3,1,1,2.95,-1.0,1.0,35.3,,,,,
