batter_name,pitch_type,p_throws,bbe,avg_ev,max_ev,avg_la,hard_hits,barrels,sweet_spots,hard_hit_rate,barrel_rate,sweet_spot_rate
Batter 672960,FF,L,2,102.7,105.1,44.0,2,1,1,100.0,50.0,50.0
Batter 672960,FC,L,1,67.1,67.1,50.0,0,0,0,0.0,0.0,0.0
Batter 672960,FC,R,1,58.1,58.1,34.0,0,0,0,0.0,0.0,0.0
Batter 672960,SI,R,1,80.4,80.4,46.0,0,0,0,0.0,0.0,0.0
Batter 672960,ST,R,1,85.7,85.7,-16.0,0,0,0,0.0,0.0,0.0
andrés giménez,FC,L,1,72.9,72.9,58.0,0,0,0,0.0,0.0,0.0
andrés giménez,FF,L,1,70.2,70.2,-14.0,0,0,0,0.0,0.0,0.0
andrés giménez,SI,L,1,99.4,99.4,7.0,1,0,0,100.0,0.0,0.0
daulton varsho,ST,R,2,66.8,67.9,49.5,0,0,1,0.0,0.0,50.0
daulton varsho,CU,R,1,92.1,92.1,14.0,0,0,1,0.0,0.0,100.0
daulton varsho,FC,L,1,74.8,74.8,75.0,0,0,0,0.0,0.0,0.0
davis schneider,FC,R,1,75.3,75.3,16.0,0,0,1,0.0,0.0,100.0
davis schneider,FF,L,1,73.5,73.5,50.0,0,0,0,0.0,0.0,0.0
davis schneider,FF,R,1,84.4,84.4,70.0,0,0,0,0.0,0.0,0.0
davis schneider,SI,L,1,96.9,96.9,40.0,1,0,0,100.0,0.0,0.0
davis schneider,ST,R,1,52.4,52.4,-36.0,0,0,0,0.0,0.0,0.0
eloy jiménez,FF,L,2,81.5,85.2,26.0,0,0,1,0.0,0.0,50.0
eloy jiménez,CH,L,1,102.0,102.0,-16.0,1,0,0,100.0,0.0,0.0
eloy jiménez,CU,L,1,99.9,99.9,20.0,1,0,1,100.0,0.0,100.0
ernie clement,CU,L,1,72.6,72.6,70.0,0,0,0,0.0,0.0,0.0
ernie clement,FC,R,1,99.4,99.4,16.0,1,0,1,100.0,0.0,100.0
jesús sánchez,FC,R,1,68.2,68.2,-17.0,0,0,0,0.0,0.0,0.0
jesús sánchez,FF,R,1,81.1,81.1,63.0,0,0,0,0.0,0.0,0.0
myles straw,FF,L,3,60.1,69.6,34.3,0,0,1,0.0,0.0,33.3
myles straw,FC,L,1,70.3,70.3,-43.0,0,0,0,0.0,0.0,0.0
myles straw,SI,L,1,96.3,96.3,0.0,1,0,0,100.0,0.0,0.0
tyler heineman,FF,L,3,74.2,75.4,55.7,0,0,1,0.0,0.0,33.3
tyler heineman,SI,L,1,73.2,73.2,56.0,0,0,0,0.0,0.0,0.0
tyler heineman,ST,L,1,91.9,91.9,4.0,0,0,0,0.0,0.0,0.0
vladimir guerrero,FF,L,2,89.6,95.1,31.5,1,0,1,50.0,0.0,50.0
vladimir guerrero,SI,L,1,104.3,104.3,7.0,1,0,0,100.0,0.0,0.0
vladimir guerrero,SI,R,1,82.4,82.4,16.0,0,0,1,0.0,0.0,100.0
