batter_name,pitch_type,p_throws,pitches,swings,takes,whiffs,fouls,balls_in_play,out_zone_pitches,chases,swing_rate,whiff_per_swing,chase_rate
Batter 672960,FF,L,4,3,1,1,0,2,1,0,75.0,33.3,0.0
Batter 672960,ST,R,4,2,2,0,1,1,3,1,50.0,0.0,33.3
Batter 672960,SI,R,3,2,1,0,2,0,2,1,66.7,0.0,50.0
Batter 672960,FC,L,2,1,1,0,1,0,1,0,50.0,0.0,0.0
Batter 672960,FC,R,2,1,1,0,1,0,0,0,50.0,0.0,0.0
andrés giménez,SI,L,3,1,2,0,0,1,1,0,33.3,0.0,0.0
andrés giménez,FC,L,2,2,0,1,0,1,1,1,100.0,50.0,100.0
andrés giménez,FF,L,1,1,0,0,0,1,1,1,100.0,0.0,100.0
daulton varsho,FF,L,5,2,3,1,1,0,4,1,40.0,50.0,25.0
daulton varsho,FF,R,3,1,2,1,0,0,3,1,33.3,100.0,33.3
daulton varsho,ST,R,3,2,1,0,2,0,1,0,66.7,0.0,0.0
daulton varsho,FC,L,2,2,0,1,1,0,1,1,100.0,50.0,100.0
daulton varsho,FC,R,2,1,1,1,0,0,1,0,50.0,100.0,0.0
daulton varsho,SI,L,2,1,1,1,0,0,1,0,50.0,100.0,0.0
daulton varsho,CU,R,1,1,0,0,0,1,1,1,100.0,0.0,100.0
daulton varsho,SI,R,1,0,1,0,0,0,0,0,0.0,0.0,0.0
davis schneider,FF,L,5,3,2,0,3,0,3,1,60.0,0.0,33.3
davis schneider,FC,R,4,1,3,0,1,0,1,0,25.0,0.0,0.0
davis schneider,ST,R,4,1,3,0,0,1,3,1,25.0,0.0,33.3
davis schneider,FF,R,2,1,1,0,1,0,1,0,50.0,0.0,0.0
davis schneider,SI,L,2,1,1,0,0,1,1,0,50.0,0.0,0.0
davis schneider,CU,L,1,0,1,0,0,0,1,0,0.0,0.0,0.0
davis schneider,FC,L,1,0,1,0,0,0,1,0,0.0,0.0,0.0
davis schneider,SI,R,1,0,1,0,0,0,1,0,0.0,0.0,0.0
eloy jiménez,FF,L,4,2,2,0,2,0,1,0,50.0,0.0,0.0
eloy jiménez,FC,L,2,1,1,1,0,0,2,1,50.0,100.0,50.0
eloy jiménez,CH,L,1,1,0,0,0,1,0,0,100.0,0.0,0.0
eloy jiménez,CU,L,1,1,0,0,0,1,0,0,100.0,0.0,0.0
eloy jiménez,FC,R,1,1,0,1,0,0,1,1,100.0,100.0,100.0
eloy jiménez,SI,R,1,1,0,1,0,0,1,1,100.0,100.0,100.0
eloy jiménez,ST,R,1,0,1,0,0,0,0,0,0.0,0.0,0.0
ernie clement,SI,L,7,0,7,0,0,0,6,0,0.0,0.0,0.0
ernie clement,FF,L,2,0,2,0,0,0,2,0,0.0,0.0,0.0
ernie clement,CU,L,1,1,0,0,0,1,0,0,100.0,0.0,0.0
ernie clement,FC,L,1,0,1,0,0,0,1,0,0.0,0.0,0.0
ernie clement,FC,R,1,1,0,0,0,1,0,0,100.0,0.0,0.0
jesús sánchez,FC,R,1,1,0,0,1,0,0,0,100.0,0.0,0.0
jesús sánchez,FF,R,1,1,0,0,0,1,1,1,100.0,0.0,100.0
myles straw,FF,L,12,5,7,1,3,1,7,1,41.7,20.0,14.3
myles straw,SI,L,3,2,1,0,1,1,2,1,66.7,0.0,50.0
myles straw,FC,L,1,1,0,0,1,0,0,0,100.0,0.0,0.0
tyler heineman,FF,L,4,4,0,1,2,1,1,1,100.0,25.0,100.0
tyler heineman,SI,L,2,1,1,0,1,0,0,0,50.0,0.0,0.0
tyler heineman,ST,L,1,1,0,0,0,1,0,0,100.0,0.0,0.0
vladimir guerrero,FF,L,2,2,0,0,1,1,0,0,100.0,0.0,0.0
vladimir guerrero,SI,L,2,1,1,0,0,1,0,0,50.0,0.0,0.0
vladimir guerrero,SI,R,2,1,1,0,0,1,1,0,50.0,0.0,0.0
