player_name,pitch_type,stand,pitches,avg_velocity,avg_h_mov,avg_v_mov,swings,whiffs,fouls,balls_in_play,out_zone_pitches,chases,swing_rate,whiff_per_swing,chase_rate_generated
Jeff Hoffman,FS,L,3,89.7,14.1,0.6,1,0,0,1,1,0,33.3,0.0,0.0
Jeff Hoffman,FF,L,2,96.4,13.2,16.8,2,0,2,0,1,1,100.0,0.0,100.0
Jeff Hoffman,FF,R,2,97.9,14.1,16.3,2,1,1,0,1,1,100.0,50.0,100.0
Jeff Hoffman,SL,L,2,87.8,-1.1,5.0,0,0,0,0,0,0,0.0,0.0,0.0
Jeff Hoffman,SI,R,1,96.8,16.7,12.8,0,0,0,0,0,0,0.0,0.0,0.0
Louis Varland,FF,L,5,99.2,8.2,16.4,2,0,2,0,1,0,40.0,0.0,0.0
Louis Varland,CH,L,4,92.9,10.3,0.3,4,2,2,0,4,4,100.0,50.0,100.0
Louis Varland,FF,R,2,99.0,4.8,18.4,2,0,2,0,2,2,100.0,0.0,100.0
Louis Varland,KC,L,2,87.1,-5.9,-9.8,0,0,0,0,1,0,0.0,0.0,0.0
Louis Varland,KC,R,2,86.4,-8.0,-10.0,1,1,0,0,1,1,50.0,100.0,100.0
Mason Fluharty,FC,L,6,90.6,4.1,10.1,1,1,0,0,3,0,16.7,100.0,0.0
Mason Fluharty,ST,L,4,82.2,13.2,-0.6,2,0,1,1,2,0,50.0,0.0,0.0
Mason Fluharty,FC,R,3,90.8,4.7,9.7,2,0,1,1,1,0,66.7,0.0,0.0
Trey Yesavage,FF,L,24,94.2,4.6,20.3,12,0,7,5,13,5,50.0,0.0,38.5
Trey Yesavage,FS,L,19,82.3,12.2,7.0,8,2,2,4,10,2,42.1,25.0,20.0
Trey Yesavage,FF,R,15,94.4,4.6,20.3,9,0,4,5,7,3,60.0,0.0,42.9
Trey Yesavage,FS,R,10,81.7,12.3,4.7,4,1,2,1,7,2,40.0,25.0,28.6
Trey Yesavage,SL,R,5,87.0,2.4,6.5,4,1,2,1,2,1,80.0,25.0,50.0
Trey Yesavage,SL,L,1,88.3,1.9,7.1,1,0,0,1,1,1,100.0,0.0,100.0
Tyler Rogers,SI,L,5,84.9,1.2,-13.5,3,0,3,0,1,1,60.0,0.0,100.0
Tyler Rogers,SL,R,5,75.0,-14.3,11.2,2,1,0,1,5,2,40.0,50.0,40.0
Tyler Rogers,SI,R,4,84.0,2.0,-11.6,3,0,2,1,1,0,75.0,0.0,0.0
