batter_name,base_situation,pitches,swings,whiffs,fouls,balls_in_play,out_zone_pitches,chases,bbe,avg_ev,avg_la,hard_hits,barrels,swing_rate,whiff_per_swing,chase_rate,hard_hit_rate,barrel_rate
Batter 672960,Runners On,15,9,1,5,3,7,2,6,82.8,33.7,2,1,60.0,11.1,28.6,33.3,16.7
andrés giménez,No Runners,6,4,1,0,3,3,2,3,80.8,17.0,1,0,66.7,25.0,66.7,33.3,0.0
daulton varsho,No Runners,19,10,5,4,1,12,4,4,75.1,47.0,0,0,52.6,50.0,33.3,0.0,0.0
davis schneider,No Runners,15,5,0,4,1,10,1,3,81.9,35.3,1,0,33.3,0.0,10.0,33.3,0.0
davis schneider,Runners On,5,2,0,1,1,2,1,2,68.4,17.0,0,0,40.0,0.0,50.0,0.0,0.0
eloy jiménez,No Runners,11,7,3,2,2,5,3,4,91.2,14.0,2,0,63.6,42.9,60.0,50.0,0.0
ernie clement,No Runners,5,0,0,0,0,5,0,0,,,0,0,0.0,0.0,0.0,0.0,0.0
ernie clement,Runners On,7,2,0,0,2,4,0,2,86.0,43.0,1,0,28.6,0.0,0.0,50.0,0.0
jesús sánchez,Runners On,2,2,0,1,1,1,1,2,74.6,23.0,0,0,100.0,0.0,100.0,0.0,0.0
myles straw,No Runners,8,2,0,0,2,6,1,2,68.9,16.5,1,0,25.0,0.0,16.7,50.0,0.0
myles straw,Runners On,8,6,1,5,0,3,1,3,69.7,9.0,0,0,75.0,16.7,33.3,0.0,0.0
tyler heineman,No Runners,1,1,0,0,1,0,0,1,72.5,68.0,0,0,100.0,0.0,0.0,0.0,0.0
tyler heineman,Runners On,6,5,1,3,1,1,1,4,78.8,39.8,0,0,83.3,20.0,100.0,0.0,0.0
vladimir guerrero,Runners On,6,4,0,1,3,1,0,4,91.5,21.5,2,0,66.7,0.0,0.0,50.0,0.0
